primarily,"ad. 主要地,首先地,基本地"
spectacular,"a. 公开展示的,惊人的n. 展览物"
speculative,"a. 思索性的,投机的,推理的"
squander,"vt. 浪费,使分散vi. 浪费,漂泊,四散"
stack,"n. 堆叠,堆,大量,烟囱vt.堆积,堆满"
stalk,"n. 茎,追踪,高视阔步vt. 追踪,搜索"
stance,"n. 准备击球姿势,踏脚处,位置,姿态"
stern,"n. 尾部,船尾,臀a. 严厉的,严格的"
strident,"a. 刺耳的,吱吱尖叫的,尖锐的"
stringent,"a. 迫切的,严厉的,银根紧的"
stupidity,"n. 愚蠢,糊涂事"
subordinate,"n. 属下,附属物a. 下级的,次要的vt.使居下位"
substantiate,"vt. 使实体化,证实"
substantive,"a. 表示实在的,有实质的,独立的n.实词,名词"
sue,"vt. 控告,请愿vi. 提出诉讼,提出请求"
suffering,"n. 苦楚,受难"
superstring,n. 超弦
supervisor,"n. 管理者,舍监,监督者"
supplement,"n. 补充物,增刊,补充vt. 补充,增补"
surmount,"vt. 战胜,超越,克服"
surpass,"vt. 超越,凌驾,胜过"
transient,"n. 暂态,候鸟,瞬变值a.短暂的"
treacherous,"a. 叛逆的,危险的,背叛的,不可靠的"
trumpet,"n. 喇叭,喇叭声vi. 吹喇叭vt.,吹嘘"
tyranny,"n. 压治统治,暴政"
unattractive,"a. 无魅力的,乏味的,不美的"
unavailable,"a. 得不到的,不近便的,不能利用的,无用的"
unconsciously,"ad. 无意识地,无意中,不知不觉"
unforeseen,a. 无法预料的
unfounded,"adj. 无根据的,无理由的"
uniquely,"adv. 独特地,唯一地,珍奇地"
unparalleled,"a. 无比的,优良无比的,空前的"
unprepared,"a. 无准备的,即席的,还没有准备好的"
unremarkable,adj. 不显著; 不值得注意的; 平凡的
unsettle,"vt. 搅乱,使动摇,使不安定vi. 动乱不定"
unsophisticated,"a. 未变成世故的,单纯的,纯洁的"
unsubstantiated,adj. 未经证实的
unwelcome,"adj.  不受欢迎的,不被喜欢的"
upstart,"n. 暴富者,暴发户,傲慢自负之人a. 暴富的"
vacuous,"a. 空的,空虚的,心灵空虚的"
vehement,"a. 热烈的,激烈的"
venerate,"vt. 尊敬,崇敬,崇拜"
blatant,"a. 喧嚣的,吵闹的,俗丽的,炫耀的"
cacophony,"n. 不愉快的音调,不和谐音,杂音"
cajole,"vt. 以甜言蜜语哄骗,勾引"
chauvinist,"n. 沙文主义者,盲目的爱国主义者"
circumspect,"a. 细心的,慎重的"
coercion,"n. 强迫,威压,高压政治"
debunk,"vt. 揭穿,暴露,拆穿假面具"
demographic,a. 人口统计学的
disintegration,n. 瓦解
disseminate,"vt. 散播,传播,宣传vi. 广为传播"
enclosure,"n. 附件,围墙,围绕"
eulogy,"n. 赞词,颂德文"
extraordinarily,"adv. 1 异常地2 格外地,非常地"
exuberant,"a. 繁茂的,丰富的,非凡的"
feasible,"a. 能实行的,可行的,适宜的"
ferocious,"a. 残忍的,凶猛的"
foam,"n. 泡沫,水沫,泡沫材料vi.起泡沫,吐白沫"
forbearance,"n. 节制,自制,忍耐"
frugal,"a. 节俭的,朴素的"
generic,a. 一般的
glacial,"a. 冰的,冰河的,冰河时代的,冰冷的"
mistrust,"n. 不信任,疑惑v. 不信任,疑惑"
mow,"n. 草堆,皱眉,怪脸vt. 割草,扫射"
muckraker,n. 探听丑闻的人
neatly,"ad. 整洁地,干净地,灵活地"
nihilism,"n. 虚无主义,怀疑论,虚无主义"
overemphasis,n. 过分的强调v. 过分强调
parliamentary,"a. 国会的,议会的,议会制度的"
pedagogy,"n. 教育学,教授法,教育"
perish,"vi. 毁灭,死亡,腐烂vt.毁坏,使麻木"
petty,"a. 琐碎的,小气的"
possessive,"n. 所有格a. 所有的,占有的"
precarious,"a. 不稳定的,不安的,危险的"
predestine,"vt. 预定,注定"
preeminent,"a. 优秀的,超群的,卓越的"
profusion,"n. 大量,慷慨,浪费,充沛"
prohibitive,"a. 禁止的,抑制的"
prudent,"a. 审慎的,三思而后行的,精明的,节俭的"
psychic,"a. 灵魂的,精神的,心灵的n.巫女,灵媒"
receptivity,"n. 感受性,接受能力"
redundant,"a. 多余的,过多的,冗长的"
renewal,"n. 更新,革新,复兴,复始,恢复,修补,补充"
agonize,"vt. 使苦恼,折磨vi. 感到痛苦"
ailment,"n. 小病,疾病"
algae,"n. 藻类,海藻"
alight,"vi. 落下,偶然发现a. 点着的"
align,"vi. 排列,排成一行,结盟vt. 使结盟"
allude,"vi. 暗示,提及"
allure,"vt. 引诱,吸引n. 魅力,诱惑力"
altruism,"n. 利他主义,利他"
altruistic,"a. 利他的,无私心的"
alumnus,"n. 男毕业生,男校友"
amateurish,"a. 业余的,非专门的,不熟练的"
amiable,"a. 亲切的,和蔼可亲的"
anachronism,"n. 时代错误,不合潮流的人(物)"
anarchist,n. 无政府主义者
antagonism,"n. 反对,敌对,敌意"
antiquate,"vt. 使古旧,废弃"
apathy,"n. 缺乏感情或兴趣,冷漠"
aplomb,"n. 沉着,泰然自若,垂直"
appall,"vt. 使胆寒,使惊骇"
appraisal,"n. 评价,估价,鉴定"
arboreal,"a. 树的,乔木的,栖于树木的"
beautify,"vt. 美化,变美,修饰"
bedrock,"n. 岩床,根底,基础"
befall,v. 降临
beggar,"n. 乞丐vt. 使贫穷,使成乞丐"
beholder,n. 观看者
believable,a. 可信的
berth,"n. 停泊处,睡床vi. 停泊vt. 使停泊"
beseech,v. 恳求
bestow,"vt. 授予,适用,留宿,放置,使用"
bestseller,n. 畅销书 [唱片] 的
betrayal,"n. 背叛,叛国"
binary,"a. 二进位的,二元的"
biosphere,"n. [生物]生存范围,生物圈"
blight,"n. 枯萎病vt. 染上枯痿病,挫折vi. 枯萎"
bliss,"n. 福佑,天赐的福"
bloomer,n. 1 开花的植物2 已成熟的人; 有作为的人
blunder,"n. 大错,大失策vi. 失策,绊倒,犯错vt. 做错"
blunt,"a. 钝的,坦率的,麻痹的"
boredom,"n. 厌烦,厌倦,令人厌烦的事物"
borehole,n. 地上凿穿
borough,"n. 自治的市镇,区"
chicanery,"n. 强词夺理,狡辩,欺骗"
chromosome,n. 染色体
clandestine,a. 秘密的
clarification,"n. 澄清,净化"
clientele,"n. 诉讼委托人,客户"
cliff,"n. 悬崖,绝壁"
clutter,"n. 杂乱vt. 弄乱,混乱"
coincide,"vi. 一致,符合"
column,"n. 专栏,圆柱,纵队n. 列,柱形图"
coma,"n. 昏迷,麻木,慧发"
comedic,a. 喜剧的
commemoration,"n. 纪念,纪念节,庆典"
commuter,"n. 通勤者,经常往返者"
compensation,"n. 补偿,赔偿金,薪资"
complacency,n. = complacence
complicity,"n. 共谋,共犯,连累"
comprehensible,"a. 可理解的,易于了解的"
computation,"n. 计算,计数,计量"
concord,"n. 一致,和睦,和睦的例子"
concordance,"n. 调和,一致,用语索引"
condescension,"n. 谦虚,硬要人家领情的态度"
cosmos,n. [the ~] (表现秩序与和谐的)宇宙
costume,"n. 装束,服装"
couch,"n. 长椅,睡椅,卧榻vt. 横躺,暗示,蹲伏"
counselor,"n. 顾问,参事,法律顾问"
courteous,"a. 彬彬有礼,谦恭的"
cowardice,n. 懦弱
crab,"n. 螃蟹,偏航 vi.捕蟹,偏航,发牢骚"
crafty,"a. 狡诈的,诡计多端的,巧妙的"
cramp,"n. 抽筋,腹部绞痛,铁箍a. 狭窄的,难解的"
crave,"v. 渴望,热望,恳求"
credible,"a. 可信的,可靠的"
creep,"n. 爬,徐行,蠕动vi. 爬,蔓延,潜行"
cull,"vt. 采,摘,拣n. 拣开的东西,被排斥出来的动物"
culpable,"a. 该责备的,有罪的,不周到的"
cumulative,a. 累积的
dangerously,adv. 危险地
dangle,vi. 用某事物诱惑，吊胃口
daunt,"vt. 威吓,难倒,使气馁"
debacle,"n. 崩溃,溃裂"
debatable,"a. 可争论的,成问题的,未决定的"
decadent,"a. 衰微的,颓废的n. 颓废派"
detractor," n. (毁损名誉的) 诽谤者,恶意批评者"
detrimental,a. 有害的
developmental,"a. 发展上的,进化的,启发的"
dictator,"n. 命令者,独裁者,独裁政权执政者"
diction,"n. 措辞,言语,用语"
dilatory,a. 拖拉的
diligence,n. 勤奋
diligent,"a. 勤勉的,用功的"
diorama,"n. 1 西洋镜,透视画2  实景3 透视画馆"
diplomacy,"n. 1 外交; 外交手腕2 交际手段,策略 "
dire,"a. 可怕的,悲惨的,阴惨的,极端的"
disaffect,"vt. 使疏远,使成为敌人,使不满意"
disapprove,v. 不赞成
discernment,"n. 1 识别2 眼力,洞察力,敏锐"
disconcert,"vt. 使困惑,使仓皇失措,破坏"
discord,"n. 不调和,不和vi. 不一致,倾轧"
discretion,"n. 慎重,辨别力,考虑,处理权"
discriminating,"a. 识别的,有识别力的,有差别的"
disgruntle,vt. 使不高兴
disinformation,n. 故意的假情报
displace,"vt. 移置,替换,转移"
egotist,n. 自我中心主义者
electorate,"n. 选民,有选举权者,选区"
electron,n. 电子
elegance,"n. 高雅,典雅,优雅"
elf,"n. 小精灵,矮人,淘气鬼"
embed,"vt. 使插入,使嵌入,深留v. 嵌入"
embitter,"vt. 使受苦,使难受,使怨恨,加苦味于"
embroil,"vt. 使卷入,牵连"
encumbrance,"n. 阻碍,妨害物,累赘"
endear,"vt. 使亲密,使受钟爱"
endorsement,"n. 支持,认可,背书"
ensemble,"n. 全体,合唱曲,女人的全套服装"
entail,"vt. 使必需,使蒙受,遗传给n.限定继承权"
enthrall,"vt. 迷惑,奴役,迷住"
enthusiast,"n. 热心家,狂热者,爱好者"
entice,"vt. 诱骗,引诱,怂恿"
entrepreneur,"n. 企业家,主办人"
entropy,n. 熵
erosion,"n. 腐蚀,冲蚀,侵蚀"
erratic,"n. 古怪的人,漂泊无定的人a.不稳定的,奇怪的"
ethnicity,n. 1 属于少数民族2 少数民族的自尊心
fragmentary,"adj. 1 破片的,碎片的2片断的"
frantic,"a. 狂乱的,疯狂的"
fraternal,"a. 兄弟的,兄弟似的,友爱的"
gamble,"n. 冒险v. 赌博,孤注一掷"
genealogist,"n. 系谱学者,系谱专家"
genu,"n. 膝,膝关节"
geologic,"adj. 地质(学)的,地质(学)上的"
germ,"n. 细菌,种子,根源"
glaze,"n. 釉,上光,光滑面vt. 装以玻璃vi.变成为光滑"
glitter,"n. 灿烂,闪烁,辉耀vi. 灿烂,闪烁,辉耀"
gloat,"vi. 满足地看,独自暗笑,贪婪地盯n.幸灾乐祸"
gnaw,"v.咬,啃,侵蚀,折磨"
gorgeous,"a. 华丽的,灿烂的"
gospel,"n. 福音,信仰,真理"
grate,"n. 1  炉格子,炉架2  格子"
gratify,vt. 使满足
gratitude,n. 感谢的心情
grief,"n. 伤心,忧愁,灾难,不幸,悲痛"
grieve,"vt. 使悲伤vi. 悲痛,伤心"
groom,"n. 马夫,新郎,男仆vt. 喂马,整饰,推荐"
grove,n. 小树林
impede,"vt. 妨碍,阻碍,阻止"
impediment,"n. 妨碍,阻碍,行李,口吃"
impropriety,"n. 不适当,不得体,用词不当"
improvisational,adj. 即兴的
inadequacy,"n. 不适当,不十分,不完全"
inapt,"a. 不适当的,不合宜的,不相配的"
inasmuch,"ad. 因...之故,因为"
inaudible,"a. 听不见的,不可闻的"
inception,"n. 起初,获得学位"
incessant,"a. 不断的,不绝的,无尽的"
incisive,"a. 敏锐的,机敏的,锋利的,切入的,激烈的"
inconclusive,"a. 非决定性,不确定的,不得要领的"
indeterminate,"a. 不确的,不确定的,含混的"
industrious,"a. 勤勉的,刻苦的"
ineffable,"a. 无法形容的,说不出的,不应说出的,避讳的"
ineffective,a. 无效的
inept,"a. 不适当的,无能的,笨拙的"
inertia,"n. 惯性,惰性,迟钝"
infallible,"a. 绝无错误的,绝对可靠的n. 一贯正确的人"
infatuation,"n. 迷惑,迷恋,醉心"
,
irreverent,"a. 不敬的,不逊的,无礼的"
drawback,"n. 不利点,退税"
sniff,"n. 以鼻吸气vt. 闻,用力吸"
librarian,"n. 图书馆员,图书管理员"
spare,"n. 剩余,备用零件,备用轮胎a.多余的,备用的"
statistic,"n. 统计数值a. 统计的,统计学的"
wrinkle,"n. 皱纹,缺点,妙计,技巧,方法,消息vi.起皱"
conservation,"n. 保护,保存"
swallow,"n. 燕子,吞咽,喉vt耗尽,轻信,取消,压制,忍受"
bureaucratic,a. 官僚的
volcano,n. 火山
absent,"a. 缺席的,不在的,缺乏的,漫不经心的vt. 缺席"
motto,"n. 箴言,座右铭,标语"
theft,"n. 盗窃,盗窃罪,赃物"
nutrition,"n. 营养,营养学"
reviewer,"n. 评论家,批评家,书评家,检阅者"
autonomous,a. 自治的
fluent,"a. 流利的,流畅的"
plate,"n. 碟,盘子,金银餐具,图版vt.镀金"
dial,"n. 刻度盘,针面,转盘v. 拨"
splendid,"a. 光亮的,灿烂的,杰出的,显著的"
roller,"n. 滚筒,滚轴,滚转机"
troublesome,"a. 麻烦的,讨厌的"
thrill,"n. 震颤,激动,刺激性vi. 震颤,抖颤,激动"
hydrogen,n. 氢
mess,"n. 食堂,伙食,困境,乱七八糟vt.将...弄糟"
horrible,"a. 可怕的,极可憎的,极可厌的"
accommodation,"n. 适应,调解,膳宿,贷款"
cabbage,n. 卷心菜
accountant,"n. 会计员,会计师"
adore,"vt. 崇拜,爱慕,喜爱"
rigid,"a. 硬的,坚硬的,刚性的,刻板的,精密的"
abrupt,"a. 突然的,唐突的,无礼的,不连贯的"
vacant,"a. 空的,空白的,空灵的,空缺的,茫然的"
punctual,"a. 准时的,守时的,点状的,正确的"
relay,"n. 驿马,替班,中继,接力vt.分程传递"
session,"n. 期间,开庭期,会议,学期"
barbecue,"n. 烤肉vt. 烤肉,烧烤"
clay,"n. 泥土,肉体,粘土"
allocate,"vt. 分派,分配"
accent,"n. 重音,口音vt. 重读,强调"
tentative,"n. 试验,假设a. 试验性质的,暂时的"
